season,team,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,1B,HBP+BB,OBP+SLG,team_name
2020,25,49,26.6,4.23,60,2181,1929,254,435,88,5,60,244,50,16,207,545,.226,0.309,0.37,.678,90,713,35,30,3,12,5,379,282,237,0.679,Seattle Mariners
2020,26,45,29.8,4.98,60,2259,2019,299,532,107,14,81,290,19,8,195,499,.263,0.335,0.451,.785,115,910,51,27,4,13,8,411,330,222,0.786,San Francisco Giants
2020,27,44,28.8,4.14,58,2011,1752,240,410,73,7,51,231,18,10,205,477,.234,0.323,0.371,.694,92,650,38,33,4,16,3,365,279,238,0.694,St. Louis Cardinals
2020,28,43,27.1,4.82,60,2261,1975,289,470,105,12,80,274,48,9,243,608,.238,0.328,0.425,.753,111,839,38,28,0,14,9,424,273,271,0.753,Tampa Bay Rays
2020,29,49,27.4,3.73,60,2147,1936,224,420,80,9,62,204,49,14,167,548,.217,0.285,0.364,.648,78,704,33,24,2,18,3,354,269,191,0.649,Texas Rangers
2020,30,49,25.9,5.03,60,2263,2023,302,516,104,4,88,288,33,6,203,508,.255,0.325,0.441,.766,108,892,39,12,8,14,4,404,320,215,0.766,Toronto Blue Jays
2020,31,43,28.6,4.88,60,2218,1968,293,519,112,12,66,279,33,12,192,451,.264,0.336,0.433,.769,107,853,42,32,5,21,16,411,329,224,0.769,Washington Nationals
2021,1,64,29.2,4.46,162,6016,5437,723,1331,265,23,190,691,79,26,464,1394,.245,0.31,0.407,.717,93,2212,107,59,30,25,35,1029,853,523,0.717,Los Angeles Angels
2021,2,64,28.9,4.19,162,6144,5489,679,1297,308,31,144,644,43,16,537,1465,.236,0.309,0.382,.692,87,2099,99,54,32,28,24,1152,814,591,0.691,Arizona Diamondbacks
2021,3,56,28.2,4.91,161,6056,5363,790,1307,269,20,239,762,59,19,549,1453,.244,0.319,0.435,.754,98,2333,81,67,32,43,36,1072,779,616,0.754,Atlanta Braves
2021,4,62,26.7,4.07,162,5983,5420,659,1296,266,15,195,632,54,23,451,1454,.239,0.304,0.402,.705,92,2177,105,65,14,31,12,1046,820,516,0.706,Baltimore Orioles
2021,5,56,28.0,5.12,162,6122,5495,829,1434,330,23,219,783,40,21,512,1386,.261,0.328,0.449,.777,106,2467,100,61,10,42,22,1093,862,573,0.777,Boston Red Sox
2021,6,69,29.1,4.35,162,5972,5306,705,1255,225,26,210,672,86,37,502,1596,.237,0.312,0.407,.719,93,2162,133,92,40,30,17,1019,794,594,0.719,Chicago Cubs
2021,7,47,28.0,4.91,162,6084,5357,796,1373,275,22,190,757,57,20,586,1389,.256,0.336,0.422,.758,106,2262,139,78,24,39,10,1125,886,664,0.758,Chicago White Sox
2021,8,55,28.9,4.85,162,6162,5423,786,1352,295,13,222,756,36,24,553,1425,.249,0.328,0.431,.759,95,2339,129,105,35,45,22,1110,822,658,0.759,Cincinnati Reds
2021,9,48,26.7,4.43,162,5907,5332,717,1269,248,22,203,686,109,17,453,1387,.238,0.303,0.407,.710,94,2170,105,64,20,36,18,987,796,517,0.71,Cleveland Indians
2021,10,45,28.1,4.59,161,6007,5374,739,1338,275,34,182,709,76,23,491,1356,.249,0.317,0.414,.731,86,2227,98,58,48,36,24,1074,847,549,0.731,Colorado Rockies
2021,11,49,28.1,4.30,162,5979,5376,697,1299,236,37,179,675,88,25,490,1514,.242,0.308,0.399,.707,96,2146,113,44,17,50,8,1031,847,534,0.707,Detroit Tigers
2021,12,61,28.2,3.85,162,5929,5348,623,1244,226,23,158,594,106,29,450,1553,.233,0.298,0.372,.671,81,1990,95,65,30,30,25,1042,837,515,0.67,Miami Marlins
2021,13,52,28.9,5.33,162,6291,5593,863,1496,299,14,221,834,53,16,569,1222,.267,0.339,0.444,.783,113,2486,136,64,9,54,25,1159,962,633,0.783,Houston Astros
2021,14,48,29.3,4.23,162,5993,5427,686,1349,251,29,163,647,124,33,421,1258,.249,0.306,0.396,.702,90,2147,100,55,31,52,8,1050,906,476,0.702,Kansas City Royals
2021,15,61,29.2,5.12,162,6239,5445,830,1330,247,24,237,799,65,17,613,1408,.244,0.33,0.429,.759,101,2336,96,104,32,45,36,1169,822,717,0.759,Los Angeles Dodgers
2021,16,61,28.7,4.56,162,6099,5362,738,1251,255,18,194,700,82,21,586,1465,.233,0.317,0.396,.713,92,2124,102,88,25,35,26,1113,784,674,0.713,Milwaukee Brewers
2021,17,57,28.3,4.50,162,6078,5431,729,1311,271,17,228,690,54,15,525,1405,.241,0.314,0.423,.738,103,2300,122,70,7,42,17,1092,795,595,0.737,Minnesota Twins
2021,19,64,28.2,3.93,162,5856,5210,636,1243,228,18,176,604,54,26,495,1392,.239,0.315,0.391,.705,93,2035,123,94,34,23,25,1099,821,589,0.706,New York Mets
2021,20,59,29.3,4.39,162,6060,5331,711,1266,213,12,222,666,63,18,621,1482,.237,0.322,0.407,.729,100,2169,154,63,10,34,14,1097,819,684,0.729,New York Yankees
2021,21,50,30.1,4.59,162,6104,5395,743,1284,271,19,199,698,88,20,545,1349,.238,0.317,0.406,.723,102,2190,99,98,17,49,17,1084,795,643,0.723,Oakland Athletics
2021,22,55,29.1,4.53,162,6089,5366,734,1288,262,24,198,700,77,19,564,1402,.240,0.318,0.408,.726,95,2192,103,67,47,43,37,1115,804,631,0.726,Philadelphia Phillies
2021,23,64,27.5,3.76,162,5983,5336,609,1261,240,35,124,570,60,30,529,1328,.236,0.309,0.364,.673,82,1943,102,49,31,37,24,1128,862,578,0.673,Pittsburgh Pirates
2021,24,54,28.0,4.50,162,6119,5384,729,1305,273,21,180,695,110,39,586,1324,.242,0.321,0.401,.722,101,2160,121,61,36,46,42,1123,831,647,0.722,San Diego Padres
2021,25,63,27.0,4.30,162,6010,5355,697,1209,233,11,199,673,64,24,535,1492,.226,0.303,0.385,.688,92,2061,92,72,9,36,8,1040,766,607,0.688,Seattle Mariners
2021,26,54,30.6,4.96,162,6196,5462,804,1360,271,25,241,768,66,14,602,1461,.249,0.329,0.44,.769,107,2404,117,64,36,30,45,1138,823,666,0.769,San Francisco Giants
2021,27,51,28.5,4.36,162,6001,5351,706,1303,261,22,198,678,89,22,478,1341,.244,0.313,0.412,.725,99,2202,99,86,40,44,32,1081,822,564,0.725,St. Louis Cardinals
2021,28,61,27.7,5.29,162,6213,5507,857,1336,288,36,222,810,88,42,585,1542,.243,0.321,0.429,.750,110,2362,75,72,6,41,27,1085,790,657,0.75,Tampa Bay Rays
2021,29,54,26.8,3.86,162,5943,5405,625,1254,225,24,167,598,106,29,433,1381,.232,0.294,0.375,.670,83,2028,113,58,16,31,10,1007,838,491,0.669,Texas Rangers
2021,30,62,26.8,5.22,162,6070,5476,846,1455,285,13,262,816,81,20,496,1218,.266,0.33,0.466,.797,113,2552,112,51,10,35,14,1056,895,547,0.796,Toronto Blue Jays
2021,31,60,28.7,4.47,162,6113,5385,724,1388,272,20,182,686,56,26,573,1303,.258,0.337,0.417,.754,107,2246,158,84,38,31,43,1185,914,657,0.754,Washington Nationals
2022,1,66,27.9,3.85,162,5977,5423,623,1265,219,31,190,600,77,27,449,1539,.233,0.297,0.39,.687,94,2116,95,54,25,25,28,1050,825,503,0.687,Los Angeles Angels
2022,2,57,26.5,4.33,162,6027,5351,702,1232,262,24,173,658,104,29,531,1341,.230,0.304,0.385,.689,95,2061,97,60,31,50,14,1039,773,591,0.689,Arizona Diamondbacks
2022,3,53,27.5,4.87,162,6082,5509,789,1394,298,11,243,753,87,31,470,1498,.253,0.317,0.443,.761,111,2443,103,66,1,36,13,1030,842,536,0.76,Atlanta Braves
2022,4,58,27.0,4.16,162,6049,5429,674,1281,275,25,171,639,95,31,476,1390,.236,0.305,0.39,.695,97,2119,95,83,12,43,10,1095,810,559,0.695,Baltimore Orioles
2022,5,54,28.8,4.54,162,6144,5539,735,1427,352,12,155,704,52,20,478,1373,.258,0.321,0.409,.731,102,2268,131,63,12,50,23,1133,908,541,0.73,Boston Red Sox
2022,6,64,27.9,4.06,162,6072,5425,657,1293,265,31,159,620,111,37,507,1448,.238,0.311,0.387,.698,96,2097,130,84,19,36,16,1100,838,591,0.698,Chicago Cubs
2022,7,44,29.3,4.23,162,6123,5611,686,1435,272,9,149,654,58,10,388,1269,.256,0.31,0.387,.698,97,2172,127,73,16,35,9,1117,1005,461,0.697,Chicago White Sox
2022,8,66,29.4,4.00,162,5978,5380,648,1264,235,18,156,618,58,33,452,1430,.235,0.304,0.372,.676,83,2003,127,92,12,33,6,1020,855,544,0.676,Cincinnati Reds
2022,9,50,25.9,4.31,162,6163,5558,698,1410,273,31,127,662,119,27,450,1122,.254,0.316,0.383,.699,102,2126,115,81,22,52,36,1156,979,531,0.699,Cleveland Guardians
2022,10,43,29.1,4.31,162,6105,5540,698,1408,280,34,149,669,45,20,453,1330,.254,0.315,0.398,.713,90,2203,139,61,10,40,10,1113,945,514,0.713,Colorado Rockies
2022,11,53,27.9,3.44,162,5870,5378,557,1240,235,27,110,530,47,24,380,1413,.231,0.286,0.346,.632,84,1859,108,58,10,44,8,1015,868,438,0.632,Detroit Tigers
2022,12,56,28.8,3.62,162,5949,5395,586,1241,248,20,144,554,122,29,436,1429,.230,0.294,0.363,.658,86,1961,120,70,4,36,6,1045,829,506,0.657,Miami Marlins
2022,13,45,29.3,4.55,162,6054,5409,737,1341,284,13,214,715,83,22,528,1179,.248,0.319,0.424,.743,111,2293,118,60,9,42,18,1068,830,588,0.743,Houston Astros
2022,14,55,27.1,3.95,162,6010,5437,640,1327,247,38,138,613,104,34,460,1287,.244,0.306,0.38,.686,93,2064,101,48,20,44,7,1091,904,508,0.686,Kansas City Royals
2022,15,51,29.6,5.23,162,6247,5526,847,1418,325,31,212,812,98,18,607,1374,.257,0.333,0.442,.775,112,2441,85,56,3,53,22,1159,850,663,0.775,Los Angeles Dodgers
2022,16,51,29.1,4.48,162,6122,5417,725,1271,251,17,219,703,96,30,577,1464,.235,0.315,0.409,.724,105,2213,117,80,11,37,25,1102,784,657,0.724,Milwaukee Brewers
2022,17,61,26.9,4.30,162,6113,5476,696,1356,269,18,178,668,38,17,518,1353,.248,0.317,0.401,.718,107,2195,133,62,10,46,11,1126,891,580,0.718,Minnesota Twins
2022,19,61,29.7,4.77,162,6176,5489,772,1422,272,27,171,735,62,22,510,1217,.259,0.332,0.412,.744,113,2261,122,112,20,44,25,1158,952,622,0.744,New York Mets
2022,20,54,30.2,4.98,162,6172,5422,807,1308,225,8,254,764,102,33,620,1391,.241,0.325,0.426,.751,113,2311,121,70,14,41,36,1093,821,690,0.751,New York Yankees
