team,game
CHA,202207100
KCA,202207111
KCA,202207112
KCA,202207120
KCA,202207130
CLE,202207140
CLE,202207150
CLE,202207160
OAK,202207211
OAK,202207212
DET,202207230
DET,202207240
DET,202207250
DET,202207260
DET,202207270
TOR,202207280
TOR,202207290
TOR,202207300
TOR,202207310
MIN,202208010
MIN,202208020
MIN,202208030
DET,202208040
DET,202208050
DET,202208060
DET,202208070
DET,202208090
DET,202208100
DET,202208110
CHA,202208120
CHA,202208130
CHA,202208140
CLE,202208151
CLE,202208152
CLE,202208160
CLE,202208170
DET,202208190
DET,202208200
DET,202208210
DET,202208230
DET,202208240
TEX,202208260
TEX,202208270
TEX,202208280
DET,202208300
DET,202208310
DET,202209010
DET,202209020
DET,202209030
DET,202209040
ANA,202209050
ANA,202209060
ANA,202209070
KCA,202209090
KCA,202209100
KCA,202209110
DET,202209120
DET,202209130
DET,202209140
DET,202209160
DET,202209170
DET,202209180
BAL,202209190
BAL,202209200
BAL,202209210
CHA,202209230
CHA,202209240
CHA,202209250
DET,202209270
DET,202209280
DET,202209290
DET,202209300
DET,202210010
DET,202210020
SEA,202210030
SEA,202210041
SEA,202210042
SEA,202210050
DET,202204080
DET,202204090
DET,202204100
CHA,202204120
CHA,202204130
CHA,202204140
CHA,202204150
CHA,202204160
CHA,202204170
CLE,202204201
CLE,202204202
CLE,202204210
MIN,202204220
MIN,202204230
MIN,202204240
CHA,202204260
CHA,202204270
CHA,202204280
CHA,202204290
CHA,202204300
CHA,202205010
CHA,202205020
CHN,202205030
CHN,202205040
BOS,202205060
BOS,202205070
BOS,202205080
CHA,202205090
CHA,202205100
CHA,202205120
CHA,202205130
CHA,202205140
CHA,202205150
KCA,202205160
KCA,202205171
KCA,202205172
KCA,202205180
KCA,202205190
NYA,202205210
NYA,202205221
NYA,202205222
CHA,202205240
CHA,202205250
CHA,202205260
CHA,202205280
CHA,202205290
TOR,202205310
TOR,202206010
TOR,202206020
TBA,202206030
TBA,202206040
TBA,202206050
CHA,202206070
CHA,202206080
CHA,202206090
CHA,202206100
CHA,202206110
CHA,202206120
DET,202206130
DET,202206140
DET,202206150
HOU,202206170
HOU,202206180
HOU,202206190
CHA,202206200
CHA,202206210
CHA,202206220
CHA,202206230
CHA,202206240
CHA,202206250
CHA,202206260
ANA,202206270
ANA,202206280
ANA,202206290
SFN,202207010
SFN,202207020
SFN,202207030
CHA,202207040
CHA,202207050
CHA,202207060
CHA,202207070
CHA,202207080
CHA,202207090
CHA,202207100
CLE,202207110
CLE,202207121
CLE,202207122
CLE,202207130
MIN,202207140
MIN,202207150
MIN,202207160
MIN,202207170
CHA,202207220
CHA,202207231
CHA,202207232
CHA,202207240
COL,202207260
COL,202207270
CHA,202207290
CHA,202207300
CHA,202207310
CHA,202208010
CHA,202208020
CHA,202208030
TEX,202208040
TEX,202208050
TEX,202208060
TEX,202208070
KCA,202208091
KCA,202208092
KCA,202208100
KCA,202208110
CHA,202208120
CHA,202208130
CHA,202208140
CHA,202208150
CHA,202208160
CHA,202208170
CHA,202208180
CLE,202208190
CLE,202208200
KCA,202208220
BAL,202208230
BAL,202208240
BAL,202208250
CHA,202208260
CHA,202208270
CHA,202208280
CHA,202208300
CHA,202208310
CHA,202209010
CHA,202209020
CHA,202209030
CHA,202209040
SEA,202209050
SEA,202209060
SEA,202209070
OAK,202209080
OAK,202209090
OAK,202209100
OAK,202209110
CHA,202209130
CHA,202209140
CLE,202209150
DET,202209160
DET,202209170
DET,202209180
CHA,202209200
CHA,202209210
CHA,202209220
CHA,202209230
CHA,202209240
CHA,202209250
MIN,202209270
MIN,202209280
MIN,202209290
SDN,202209300
SDN,202210010
SDN,202210020
CHA,202210030
CHA,202210040
CHA,202210050
KCA,202204070
KCA,202204090
KCA,202204100
KCA,202204110
CIN,202204120
CIN,202204130
CLE,202204150
CLE,202204160
CLE,202204170
CLE,202204201
CLE,202204202
CLE,202204210
NYA,202204220
NYA,202204230
NYA,202204240
ANA,202204250
ANA,202204260
ANA,202204270
ANA,202204280
OAK,202204290
OAK,202204300
OAK,202205010
CLE,202205041
CLE,202205042
CLE,202205050
CLE,202205071
CLE,202205072
CLE,202205080
CHA,202205090
CHA,202205100
MIN,202205130
MIN,202205140
MIN,202205150
CLE,202205170
CLE,202205190
CLE,202205200
CLE,202205220
HOU,202205230
HOU,202205240
HOU,202205250
DET,202205260
DET,202205280
DET,202205290
CLE,202205300
CLE,202205310
CLE,202206010
BAL,202206030
